Country,Clicks,Impressions,CTR,Position
United Kingdom,17,2492,0.68%,48.01
United States,3,697,0.43%,21.09
Malaysia,1,8,12.5%,5.25
Switzerland,1,3,33.33%,5.33
Belgium,1,2,50%,10.5
Jamaica,1,1,100%,1
Slovakia,1,1,100%,1
Canada,0,277,0%,40.86
Australia,0,103,0%,25.37
Sweden,0,26,0%,24.23
Romania,0,24,0%,8.54
Germany,0,23,0%,8.22
Netherlands,0,18,0%,9.06
Pakistan,0,15,0%,33.8
India,0,13,0%,4.62
France,0,10,0%,5.3
Spain,0,9,0%,7
Singapore,0,9,0%,20.22
Brazil,0,8,0%,9
New Zealand,0,8,0%,37.38
Ireland,0,6,0%,18
Italy,0,5,0%,5
Mexico,0,5,0%,8
Vietnam,0,4,0%,2
Philippines,0,4,0%,11.5
Iraq,0,4,0%,16
Colombia,0,4,0%,18
South Africa,0,3,0%,4.33
Russia,0,3,0%,4.67
United Arab Emirates,0,3,0%,6.67
South Korea,0,3,0%,19.67
Thailand,0,3,0%,22.67
Turkey,0,3,0%,23.67
Albania,0,2,0%,3.5
Portugal,0,2,0%,3.5
China,0,2,0%,6
Hungary,0,2,0%,8
Morocco,0,2,0%,10
Saudi Arabia,0,2,0%,11.5
Poland,0,2,0%,13
Argentina,0,2,0%,18.5
Algeria,0,2,0%,27
Japan,0,2,0%,33
Sri Lanka,0,1,0%,1
Ukraine,0,1,0%,1
Austria,0,1,0%,2
Bangladesh,0,1,0%,2
Guernsey,0,1,0%,2
Iran,0,1,0%,2
Palestine,0,1,0%,2
Moldova,0,1,0%,3
Honduras,0,1,0%,5
Indonesia,0,1,0%,6
Bulgaria,0,1,0%,8
Latvia,0,1,0%,10
Taiwan,0,1,0%,10
Nepal,0,1,0%,11
Mauritius,0,1,0%,16
Hong Kong,0,1,0%,18
Peru,0,1,0%,19
Jordan,0,1,0%,36
Bolivia,0,1,0%,66
Ethiopia,0,1,0%,66
