Date,Not indexed,Indexed,Impressions
2026-03-24,9,8,3
2026-03-25,9,8,12
2026-03-26,9,8,5
2026-03-27,9,8,2
2026-03-28,9,8,0
2026-03-29,9,8,3
2026-03-30,9,8,2
2026-03-31,9,8,5
2026-04-01,9,8,4
2026-04-02,9,8,2
2026-04-03,9,8,2
2026-04-04,9,8,1
2026-04-05,9,8,6
2026-04-06,9,8,2
2026-04-07,9,8,4
2026-04-08,9,8,5
2026-04-09,9,8,1
2026-04-10,9,8,1
2026-04-11,9,8,3
2026-04-12,9,8,4
2026-04-13,9,8,5
2026-04-14,9,10,5
2026-04-15,9,10,12
2026-04-16,9,10,3
2026-04-17,9,10,3
2026-04-18,9,21,4
2026-04-19,9,21,3
2026-04-20,9,21,4
2026-04-21,9,21,7
2026-04-22,9,21,13
2026-04-23,9,21,8
2026-04-24,9,21,23
2026-04-25,9,21,8
2026-04-26,9,21,10
2026-04-27,9,21,8
2026-04-28,9,21,6
2026-04-29,9,21,6
2026-04-30,9,21,2
2026-05-01,9,21,8
2026-05-02,9,24,4
2026-05-03,9,24,3
2026-05-04,9,24,11
2026-05-05,9,24,22
2026-05-06,9,24,42
2026-05-07,9,24,50
2026-05-08,9,24,64
2026-05-09,9,24,58
2026-05-10,9,24,63
2026-05-11,9,24,73
2026-05-12,9,24,79
2026-05-13,9,24,69
2026-05-14,9,24,66
2026-05-15,9,24,108
2026-05-16,9,24,105
2026-05-17,9,24,110
2026-05-18,9,24,103
2026-05-19,9,24,94
2026-05-20,9,24,100
2026-05-21,9,24,43
2026-05-22,9,24,55
2026-05-23,9,24,54
2026-05-24,9,24,55
2026-05-25,9,24,70
2026-05-26,9,24,47
2026-05-27,9,24,64
2026-05-28,9,24,60
2026-05-29,9,24,61
2026-05-30,9,24,65
2026-05-31,9,24,61
2026-06-01,9,24,85
2026-06-02,10,23,68
2026-06-03,10,23,62
2026-06-04,10,23,93
2026-06-05,10,23,75
2026-06-06,10,23,94
2026-06-07,10,23,88
2026-06-08,10,23,92
2026-06-09,9,24,90
2026-06-10,9,24,74
2026-06-11,9,24,62
2026-06-12,9,24,77
