Top pages,Clicks,Impressions,CTR,Position
https://clubforgehq.com/,19,304,6.25%,3.63
https://clubforgehq.com/blog/best-app-to-track-belt-promotions,2,366,0.55%,13.98
https://clubforgehq.com/blog/martial-arts-software-uk-guide,1,2598,0.04%,45.46
https://clubforgehq.com/features/belt-progression,1,114,0.88%,32.45
https://clubforgehq.com/pricing,1,104,0.96%,12.13
https://clubforgehq.com/blog,1,30,3.33%,24.2
https://clubforgehq.com/martial-arts-software-london,0,542,0%,77.2
https://clubforgehq.com/for/boxing-mma,0,216,0%,45.96
https://clubforgehq.com/martial-arts-software-nottingham,0,203,0%,83
https://clubforgehq.com/martial-arts-software-bristol,0,129,0%,84.91
https://clubforgehq.com/martial-arts-software-newcastle,0,120,0%,84.74
https://clubforgehq.com/features/class-scheduling,0,119,0%,64.03
https://clubforgehq.com/martial-arts-software-glasgow,0,117,0%,86.74
https://clubforgehq.com/about,0,90,0%,6.11
https://clubforgehq.com/gym-management-birmingham,0,65,0%,71.09
https://clubforgehq.com/faq,0,54,0%,5.52
https://clubforgehq.com/martial-arts-software-leeds,0,43,0%,84.67
https://clubforgehq.com/gym-management-edinburgh,0,34,0%,78.35
https://clubforgehq.com/demo,0,31,0%,5.61
https://clubforgehq.com/bjj-gym-software-liverpool,0,30,0%,86.1
https://clubforgehq.com/gym-management-leicester,0,28,0%,81
https://clubforgehq.com/features/member-management,0,26,0%,5.23
https://clubforgehq.com/bjj-gym-software-manchester,0,9,0%,11.56
https://clubforgehq.com/bjj-gym-software-sheffield,0,5,0%,51.2
https://clubforgehq.com/#features,0,3,0%,3.67
