name,discipline,address,city,postcode,phone,email,website,rating,reviews_count,source,scraped_at
Wave Brazilian Jiu Jitsu,BJJ,"11-13 Chiswick High Rd., Chiswick, London W4 2ND",London,W4 2ND,020 8012 8355,info@wavebjj.co; info@wavebjj.co.uk; user@domain.com,http://www.bjjwestlondon.com/,5,70,google_maps,2026-03-05T15:07:57.812174+00:00
The London Jiu Jitsu Centre,BJJ,"10 William Rd, London NW1 3EN",London,NW1 3EN,07591 492052,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com; 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com; 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.londonjiujitsucentre.com/,5,64,google_maps,2026-03-05T15:07:59.516778+00:00
Tribe BJJ,BJJ,"2 Austin Rd, London SW11 5JP",London,SW11 5JP,07984 954331,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com; 98b21aa53d68482b8414e892d9af0e5f@sentry-next.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com,https://tribebjj.co.uk/,5,20,google_maps,2026-03-05T15:08:01.361983+00:00
Fightzone London,BJJ,"16-22 Pritchard's Rd, London E2 9AP",London,E2 9AP,020 7729 3907,support@fightzonelondon.co.uk; user@domain.com; fightzonelondon@gmail.com,http://fightzonelondon.co.uk/,4.9,609,google_maps,2026-03-05T15:08:03.103974+00:00
Consistency Brazilian Jiu Jitsu,BJJ,"16-22 Pritchard's Rd, London E2 9AP",London,E2 9AP,020 7729 3907,support@fightzonelondon.co.uk; user@domain.com; fightzonelondon@gmail.com,http://fightzonelondon.co.uk/,4.9,609,google_maps,2026-03-05T15:08:04.890713+00:00
Kodokan Academy of Brazilian Jiu Jitsu - BJJ School London,BJJ,"Unit 1C, Woolwich Church St, London SE18 5NS",London,SE18 5NS,07834 230066,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com; ed436f5053144538958ad06a5005e99a@sentry.wixpress.com,http://www.thekodokan.com/,5,78,google_maps,2026-03-05T15:08:06.555894+00:00
Urban Flow London (UFL) BJJ,BJJ,"Unit 1C, Woolwich Church St, London SE18 5NS",London,SE18 5NS,07834 230066,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com; ed436f5053144538958ad06a5005e99a@sentry.wixpress.com,http://www.thekodokan.com/,5,78,google_maps,2026-03-05T15:08:08.313251+00:00
Alliance Jiu Jitsu London,BJJ,"Imperial Wharf, 10-12 The Blvd, Townmead Rd, London SW6 2UB",London,SW6 2UB,020 8079 1044,hello@alliancejjlondon.com,https://alliancejjlondon.com/,4.9,39,google_maps,2026-03-05T15:08:09.982438+00:00
10th Planet Jiu Jitsu London,BJJ,"Imperial Wharf, 10-12 The Blvd, Townmead Rd, London SW6 2UB",London,SW6 2UB,020 8079 1044,hello@alliancejjlondon.com,https://alliancejjlondon.com/,4.9,39,google_maps,2026-03-05T15:08:11.798454+00:00
"Grapple Zone Brazilian Jiu Jitsu, Waterloo",BJJ,"91 Westminster Bridge Rd, London SE1 7HW",London,SE1 7HW,07496 636266,admin@grapplezone.co.uk; user@domain.com,https://www.grapplezone.co.uk/,4.9,68,google_maps,2026-03-05T15:08:13.481936+00:00
