name,discipline,address,city,area,phone,email,website,rating,reviews_count,source,scraped_at
(AKC) Asian Karate club electra street abudabi,"Karate, Taekwondo, Martial Arts","Electra Street Building No C102 , Mezzanine 01 - near National Hospital - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+971 58 953 2563,info@akc.com,http://akckarateclub.com/,5.0,26,google_maps,2026-03-13T01:07:31.388360+00:00
121 Studio Boutique Gym,"Kickboxing, Boxing, Karate, Taekwondo, Martial Arts",Janana Tower - Mezzanine floor same building of Adidas - Electra Zayed The First St - Al Hisn - W6 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97126327717,info@121studio.com; info@121studio.ae,http://www.121studio.ae/,4.7,184,google_maps,2026-03-12T21:12:30.638916+00:00
9 Element Martial Arts (CONTACT FIRST),"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Wrestling, Karate, Judo, Taekwondo, Martial Arts",3rd St - Al Reem Island - Najmat Abu Dhabi - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 55 919 6179,ask@nodojoninja.org; nodojoninja@gmail.com,https://nodojoninja.org/,4.7,11,google_maps,2026-03-12T13:01:22.743547+00:00
A2Z Ladies Fitness Center,Kickboxing,tower - Only ladies gym - opposite ADCB bank - Al Khalidiyah - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 55 172 7536,,,4.9,94,google_maps,2026-03-12T21:13:54.700435+00:00
AIKIWAY DOJO - Aikikai Aikido of Abu Dhabi,"Karate, Judo, Taekwondo, Martial Arts",Grand Millennium Al Wahda - 11th Street Hazza ' Bin Zayed The First St - Al Nahyan - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 422 0122,support@aikiwaydojo.com,http://www.aikiwaydojo.com/,4.9,10,google_maps,2026-03-13T01:06:45.976587+00:00
AKC martial arts Musaffah and Abudhabi,"MMA, Karate, Judo, Taekwondo, Martial Arts",Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97125589237,,https://www.asiankarateclub.com/,4.9,13,google_maps,2026-03-12T13:58:47.111336+00:00
Abu Dhabi Martial Arts Academy - ADMA HQ,"BJJ, MMA, Muay Thai, Boxing, Karate, Judo, Taekwondo, Martial Arts",Zayed Sports City - Mubadala Arena - Al Khaleej Al Arabi St - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 761 7457,info@adma.academy; info@admaacademy.com,https://admaacademy.com/,5.0,2,google_maps,2026-03-12T13:01:11.531883+00:00
Abu Dhabi Martial Arts Academy - ADMA MBZ,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",UAEJJ Fitness - Al Manhal St - Mohamed Bin Zayed City - ME5 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 54 583 7558,info@adma.academy; info@admaacademy.com,https://admaacademy.com/,3.5,23,google_maps,2026-03-12T13:01:25.927139+00:00
Abu Dhabi Muay Thai,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",Saeed Bin Ahmad Al Otaiba St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97126769658,info@abudhabimuaythai.com,http://abudhabimuaythai.com/,4.8,130,google_maps,2026-03-12T13:01:14.729299+00:00
Active Fitness Store | Abu Dhabi,Boxing,"G Floor,Blue Tower,Old Airport Road - Muroor Road Al Falah St - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+971 58 133 9504,,https://activefitnessstore.com/,4.9,108,google_maps,2026-03-12T22:40:36.444532+00:00
Adrenagy Fitness Center,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Judo, Taekwondo, Martial Arts",Khalifa Park - Gate No.2 Sheikh Zayed Bin Sultan St - Al Muntazah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97124441121,,https://www.adrenagy.com/,4.7,1020,google_maps,2026-03-12T13:01:45.648180+00:00
Al Wahda club Jiu-Jitsu Academy جوجيتسو,"BJJ, MMA, Karate, Judo, Taekwondo, Martial Arts",Al Nahyan - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 56 533 3825,,,4.9,185,google_maps,2026-03-12T13:00:50.738840+00:00
