name,discipline,address,city,postcode,phone,email,website,rating,reviews_count,source,scraped_at
Wave Brazilian Jiu Jitsu,BJJ,"11-13 Chiswick High Rd., Chiswick, London W4 2ND",London,W4 2ND,020 8012 8355,info@wavebjj.co; info@societymembers.club; info@wavebjj.co.uk,http://www.bjjwestlondon.com/,5.0,70,google_maps,2026-03-05T15:07:57.812174+00:00
The London Jiu Jitsu Centre,BJJ,"10 William Rd, London NW1 3EN",London,NW1 3EN,07591 492052,example@mysite.com; admin@londonjiujitsucentre.com,https://www.londonjiujitsucentre.com/,5.0,64,google_maps,2026-03-05T15:07:59.516778+00:00
Tribe BJJ,BJJ,"2 Austin Rd, London SW11 5JP",London,SW11 5JP,07984 954331,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com; 98b21aa53d68482b8414e892d9af0e5f@sentry-next.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com,https://tribebjj.co.uk/,5.0,20,google_maps,2026-03-05T15:08:01.361983+00:00
Fightzone London,BJJ,"16-22 Pritchard's Rd, London E2 9AP",London,E2 9AP,020 7729 3907,fightzonelondon@gmail.com; support@fightzonelondon.co.uk,http://fightzonelondon.co.uk/,4.9,609,google_maps,2026-03-05T15:08:03.103974+00:00
Consistency Brazilian Jiu Jitsu,BJJ,"16-22 Pritchard's Rd, London E2 9AP",London,E2 9AP,020 7729 3907,fightzonelondon@gmail.com; support@fightzonelondon.co.uk,http://fightzonelondon.co.uk/,4.9,609,google_maps,2026-03-05T15:08:04.890713+00:00
Kodokan Academy of Brazilian Jiu Jitsu - BJJ School London,BJJ,"Unit 1C, Woolwich Church St, London SE18 5NS",London,SE18 5NS,07834 230066,sensei@thekodokan.com,http://www.thekodokan.com/,5.0,78,google_maps,2026-03-05T15:08:06.555894+00:00
Urban Flow London (UFL) BJJ,BJJ,"Unit 1C, Woolwich Church St, London SE18 5NS",London,SE18 5NS,07834 230066,sensei@thekodokan.com,http://www.thekodokan.com/,5.0,78,google_maps,2026-03-05T15:08:08.313251+00:00
Alliance Jiu Jitsu London,BJJ,"Imperial Wharf, 10-12 The Blvd, Townmead Rd, London SW6 2UB",London,SW6 2UB,020 8079 1044,hello@alliancejjlondon.com,https://alliancejjlondon.com/,4.9,39,google_maps,2026-03-05T15:08:09.982438+00:00
10th Planet Jiu Jitsu London,BJJ,"Imperial Wharf, 10-12 The Blvd, Townmead Rd, London SW6 2UB",London,SW6 2UB,020 8079 1044,hello@alliancejjlondon.com,https://alliancejjlondon.com/,4.9,39,google_maps,2026-03-05T15:08:11.798454+00:00
"Grapple Zone Brazilian Jiu Jitsu, Waterloo",BJJ,"91 Westminster Bridge Rd, London SE1 7HW",London,SE1 7HW,07496 636266,admin@grapplezone.co.uk,https://www.grapplezone.co.uk/,4.9,68,google_maps,2026-03-05T15:08:13.481936+00:00
Apex Jiu-Jitsu,BJJ,"Ground floor 1, 3 & 5 Morris Pl, Clifton Terrace, Finsbury Park, London N4 3JG",London,N4 3JG,07385 811179,info@apex-bjj.com,https://www.apexbjj.co.uk/,4.9,62,google_maps,2026-03-05T15:08:15.295202+00:00
Carlson Gracie London,BJJ,"Ground floor 1, 3 & 5 Morris Pl, Clifton Terrace, Finsbury Park, London N4 3JG",London,N4 3JG,07385 811179,info@apex-bjj.com,https://www.apexbjj.co.uk/,4.9,62,google_maps,2026-03-05T15:08:17.166480+00:00
Cantagalo JiuJitsu London,BJJ,"Aspenlea Rd, London W6 8LH",London,W6 8LH,07902 491656,cantagalojiujitsulondon@gmail.com,https://cantagalobjj.com/,4.9,109,google_maps,2026-03-05T15:08:18.863409+00:00
Carpe Diem Brazilian Jiu-Jitsu London,BJJ,"Aspenlea Rd, London W6 8LH",London,W6 8LH,07902 491656,cantagalojiujitsulondon@gmail.com,https://cantagalobjj.com/,4.9,109,google_maps,2026-03-05T15:08:20.694318+00:00
Valour Jiu-Jitsu HQ,BJJ,"4 Fulham High St, London SW6 3LQ",London,SW6 3LQ,07883 302026,info@valourjiujitsu.co.uk,https://valourjiujitsu.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,255,google_maps,2026-03-05T15:08:22.393564+00:00
BALANCE BRAZILIAN JIU JITSU ACADEMY,BJJ,"16 Berkeley St, London W1J 8DZ",London,W1J 8DZ,07360 542667,info@balancebjj.co.uk,http://www.balancebjj.co.uk/,5.0,16,google_maps,2026-03-05T15:08:24.220258+00:00
Equilibrium Brazilian Jiu Jitsu,BJJ,"16 Berkeley St, London W1J 8DZ",London,W1J 8DZ,07360 542667,info@balancebjj.co.uk,http://www.balancebjj.co.uk/,5.0,16,google_maps,2026-03-05T15:08:26.052620+00:00
BJJ ART UK - Brazilian Jiu Jitsu,BJJ,"6 Sancroft St, London SE11 5UD",London,SE11 5UD,07565 132401,bjj4all.ltd@gmail.com,https://bjj-art.com/,5.0,110,google_maps,2026-03-05T15:08:27.723316+00:00
PURE JIUJITSU,BJJ,"The Rehearsal Rooms, Victoria Rd, North Acton, London W3 6HU",London,W3 6HU,07521 420733,info@purejiujitsu.com,http://www.purejiujitsu.com/,5.0,142,google_maps,2026-03-05T15:08:29.419412+00:00
London Fight Factory,BJJ,"19 Ebenezer St, London N1 7LU",London,N1 7LU,07944 574046,,http://www.londonfightfactory.com/,4.7,540,google_maps,2026-03-05T15:08:31.149382+00:00
Putney Jiu Jitsu - 5* BJJ Gym in South West London,BJJ,"19 Ebenezer St, London N1 7LU",London,N1 7LU,07944 574046,,http://www.londonfightfactory.com/,4.7,540,google_maps,2026-03-05T15:08:33.003511+00:00
10th Planet Jiu Jitsu London,BJJ,"1012 Dockside Rd, London E16 2QT",London,E16 2QT,07984 973337,,http://www.10thplanetjjlondon.com/,5.0,45,google_maps,2026-03-05T15:08:34.661207+00:00
"Grapple Zone Brazilian Jiu Jitsu, Waterloo",BJJ,"1012 Dockside Rd, London E16 2QT",London,E16 2QT,07984 973337,,http://www.10thplanetjjlondon.com/,5.0,45,google_maps,2026-03-05T15:08:36.397483+00:00
ARMA Jiu Jitsu Club,BJJ,"Polygon House, 18-20 Bromell's Rd, London SW4 0BG",London,SW4 0BG,020 8129 0847,info@armabjj.com,https://www.armabjj.com/,5.0,62,google_maps,2026-03-05T15:08:38.077742+00:00
Los Banditos Submission Grappling Club,BJJ,"Polygon House, 18-20 Bromell's Rd, London SW4 0BG",London,SW4 0BG,020 8129 0847,info@armabjj.com,https://www.armabjj.com/,5.0,62,google_maps,2026-03-05T15:08:39.921725+00:00
Inglorious Grapplers,BJJ,"Eight Members Club, 1 Dysart St, London EC2A 2BX",London,EC2A 2BX,07747 351587,ingloriousgrapplers@gmail.com,http://www.ingloriousgrapplers.com/,5.0,41,google_maps,2026-03-05T15:08:41.600938+00:00
London Ju Jitsu - Elephant and Castle,BJJ,"The Rehearsal Rooms, Victoria Rd, North Acton, London W3 6HU",London,W3 6HU,07521 420733,info@purejiujitsu.com,http://www.purejiujitsu.com/,5.0,142,google_maps,2026-03-05T15:08:45.189871+00:00
Roger Gracie Euston,BJJ,"16 Berkeley St, London W1J 8DZ",London,W1J 8DZ,07360 542667,info@balancebjj.co.uk,http://www.balancebjj.co.uk/,5.0,16,google_maps,2026-03-05T15:08:48.751365+00:00
Mill Hill BJJ,BJJ,"16 Berkeley St, London W1J 8DZ",London,W1J 8DZ,07360 542667,info@balancebjj.co.uk,http://www.balancebjj.co.uk/,5.0,16,google_maps,2026-03-05T15:08:50.465069+00:00
Luciano Cristovam BJJ Academy,BJJ,"16 Berkeley St, London W1J 8DZ",London,W1J 8DZ,07360 542667,info@balancebjj.co.uk,http://www.balancebjj.co.uk/,5.0,16,google_maps,2026-03-05T15:08:52.298772+00:00
Social BJJ W2,BJJ,"The Stowe Centre, London W2 5ES",London,W2 5ES,07702 834449,,https://www.instagram.com/jiujitsusocialw2/,4.9,45,google_maps,2026-03-05T15:08:54.203580+00:00
The BJJ Place - West Hampstead Dojo,BJJ,"The Stowe Centre, London W2 5ES",London,W2 5ES,07702 834449,,https://www.instagram.com/jiujitsusocialw2/,4.9,45,google_maps,2026-03-05T15:08:56.165919+00:00
Highbury Jitsu Club,BJJ,"8 Highbury Grove, London N5 2EQ",London,N5 2EQ,07879 843587,highburyjitsu@gmail.com; info@project.be,https://highburyjitsu.org.uk/,4.7,14,google_maps,2026-03-05T15:08:57.930334+00:00
Diesel Gym London,BJJ,"8 Highbury Grove, London N5 2EQ",London,N5 2EQ,07879 843587,highburyjitsu@gmail.com; info@project.be,https://highburyjitsu.org.uk/,4.7,14,google_maps,2026-03-05T15:08:59.853065+00:00
